label,model,provider,tpq,intra_threads,bind_cores,cold_time_s,warm_time_s,max_rss_mb,job_mem_mb,status
giant_PHYDLL_CPP_DLR96_I1,giant,PHYDLL_CPP_DLR96_I1,96,1,0,25.6855,17.9561,23539.1,231809,SUCCESS
giant_PHYDLL_CPP_DLR96_I1,giant,PHYDLL_CPP_DLR96_I1,96,1,0,23.0701,20.7005,28873.4,232517,SUCCESS
giant_PHYDLL_CPP_DLR96_I1,giant,PHYDLL_CPP_DLR96_I1,96,1,0,23.4228,20.8228,28739.8,236018,SUCCESS
giant_PHYDLL_CPP_DLR96_I1,giant,PHYDLL_CPP_DLR96_I1,96,1,0,24.2842,20.6139,28826.2,236018,SUCCESS
giant_PHYDLL_CPP_DLR96_I1,giant,PHYDLL_CPP_DLR96_I1,96,1,0,23.3573,21.1384,28743.3,238162,SUCCESS
giant_PHYDLL_CPP_DLR96_I1,giant,PHYDLL_CPP_DLR96_I1,96,1,0,23.8403,19.9759,28684.7,238162,SUCCESS
giant_PHYDLL_CPP_DLR96_I1,giant,PHYDLL_CPP_DLR96_I1,96,1,0,24.0527,20.7086,28878.4,239584,SUCCESS
giant_PHYDLL_CPP_DLR96_I1,giant,PHYDLL_CPP_DLR96_I1,96,1,0,23.4465,19.6851,28807.8,239584,SUCCESS
giant_PHYDLL_CPP_DLR96_I1,giant,PHYDLL_CPP_DLR96_I1,96,1,0,23.9507,20.2755,28766.8,239584,SUCCESS
giant_PHYDLL_CPP_DLR96_I1,giant,PHYDLL_CPP_DLR96_I1,96,1,0,24.4938,20.3055,28717.6,239584,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,42.9891,44.7754,35226.3,239584,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,42.9676,40.7136,35394.3,239584,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,41.4609,42.9171,35218,239584,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,40.39,40.0647,35131.4,239584,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,39.1534,40.1034,35132.1,239584,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,39.1177,36.3248,35102.5,239584,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,43.9926,41.2233,35312.9,239584,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,36.3469,38.6081,35115.3,239584,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,38.2391,40.968,35250.5,239584,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,43.5394,42.4965,35315.7,239584,SUCCESS
transformer_PHYDLL_CPP_DLR96_I1,transformer,PHYDLL_CPP_DLR96_I1,96,1,0,4.87677,3.95927,29349.1,239584,SUCCESS
transformer_PHYDLL_CPP_DLR96_I1,transformer,PHYDLL_CPP_DLR96_I1,96,1,0,5.86524,4.97362,29455.9,239584,SUCCESS
transformer_PHYDLL_CPP_DLR96_I1,transformer,PHYDLL_CPP_DLR96_I1,96,1,0,5.69757,4.58375,29534.4,239584,SUCCESS
transformer_PHYDLL_CPP_DLR96_I1,transformer,PHYDLL_CPP_DLR96_I1,96,1,0,5.70089,4.26005,29534.4,239584,SUCCESS
transformer_PHYDLL_CPP_DLR96_I1,transformer,PHYDLL_CPP_DLR96_I1,96,1,0,5.52655,5.38383,29440.3,239584,SUCCESS
transformer_PHYDLL_CPP_DLR96_I1,transformer,PHYDLL_CPP_DLR96_I1,96,1,0,5.54267,4.51168,29413.1,239584,SUCCESS
transformer_PHYDLL_CPP_DLR96_I1,transformer,PHYDLL_CPP_DLR96_I1,96,1,0,5.34078,4.34657,29517.6,239584,SUCCESS
transformer_PHYDLL_CPP_DLR96_I1,transformer,PHYDLL_CPP_DLR96_I1,96,1,0,6.04758,4.10576,29458.6,239584,SUCCESS
transformer_PHYDLL_CPP_DLR96_I1,transformer,PHYDLL_CPP_DLR96_I1,96,1,0,5.49159,4.03298,29410.8,239584,SUCCESS
transformer_PHYDLL_CPP_DLR96_I1,transformer,PHYDLL_CPP_DLR96_I1,96,1,0,5.78856,4.10207,29405.2,239584,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,2.62843,0.966181,30939.8,243712,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.49886,1.07885,36457.9,243712,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.54006,1.17499,36232,243712,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.60321,1.08186,36300,243712,SUCCESS
