label,model,provider,tpq,intra_threads,bind_cores,cold_time_s,warm_time_s,max_rss_mb,job_mem_mb,status
giant_PHYDLL_PY_DLR96_I1,giant,PHYDLL_PY_DLR96_I1,96,1,0,24.125,19.6272,23371,231801,SUCCESS
giant_PHYDLL_PY_DLR96_I1,giant,PHYDLL_PY_DLR96_I1,96,1,0,22.8971,19.8932,28989,232358,SUCCESS
giant_PHYDLL_PY_DLR96_I1,giant,PHYDLL_PY_DLR96_I1,96,1,0,20.9484,20.7855,28872.9,232977,SUCCESS
giant_PHYDLL_PY_DLR96_I1,giant,PHYDLL_PY_DLR96_I1,96,1,0,22.7333,23.7866,28901.5,232977,SUCCESS
giant_PHYDLL_PY_DLR96_I1,giant,PHYDLL_PY_DLR96_I1,96,1,0,20.4599,19.6397,28996.4,232977,SUCCESS
giant_PHYDLL_PY_DLR96_I1,giant,PHYDLL_PY_DLR96_I1,96,1,0,28.4474,17.5426,28867.8,232977,SUCCESS
giant_PHYDLL_PY_DLR96_I1,giant,PHYDLL_PY_DLR96_I1,96,1,0,23.8576,18.9012,23368.3,239007,SUCCESS
giant_PHYDLL_PY_DLR96_I1,giant,PHYDLL_PY_DLR96_I1,96,1,0,22.4682,20.1165,28967.7,239007,SUCCESS
giant_PHYDLL_PY_DLR96_I1,giant,PHYDLL_PY_DLR96_I1,96,1,0,22.1068,19.8898,29009.2,239007,SUCCESS
giant_PHYDLL_PY_DLR96_I1,giant,PHYDLL_PY_DLR96_I1,96,1,0,22.2689,19.7566,28996.3,239007,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,58.5578,49.1001,35420.2,239007,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,45.1026,45.7567,32856,239007,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,41.6153,47.3214,30883.2,239007,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,50.8468,48.1072,35482.7,239007,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,47.9857,45.4783,35467.4,239007,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,49.8144,47.4313,35509.3,239007,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,46.9895,46.2007,35379.4,239007,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,43.9272,48.5391,35446.6,239007,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,55.6818,47.8234,35493.3,239007,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,42.7875,40.1698,35465.6,239007,SUCCESS
transformer_PHYDLL_PY_DLR96_I1,transformer,PHYDLL_PY_DLR96_I1,96,1,0,4.02926,4.15751,29706.5,239007,SUCCESS
transformer_PHYDLL_PY_DLR96_I1,transformer,PHYDLL_PY_DLR96_I1,96,1,0,4.89569,4.4223,29677.9,239007,SUCCESS
transformer_PHYDLL_PY_DLR96_I1,transformer,PHYDLL_PY_DLR96_I1,96,1,0,4.31649,4.06482,29663,239007,SUCCESS
transformer_PHYDLL_PY_DLR96_I1,transformer,PHYDLL_PY_DLR96_I1,96,1,0,5.13295,4.92469,29625.3,239007,SUCCESS
transformer_PHYDLL_PY_DLR96_I1,transformer,PHYDLL_PY_DLR96_I1,96,1,0,4.29017,3.80541,29581,239007,SUCCESS
transformer_PHYDLL_PY_DLR96_I1,transformer,PHYDLL_PY_DLR96_I1,96,1,0,4.3935,4.18303,29607.1,239007,SUCCESS
transformer_PHYDLL_PY_DLR96_I1,transformer,PHYDLL_PY_DLR96_I1,96,1,0,4.34606,4.13839,29657.4,239007,SUCCESS
transformer_PHYDLL_PY_DLR96_I1,transformer,PHYDLL_PY_DLR96_I1,96,1,0,4.36134,4.08777,29645.5,239007,SUCCESS
transformer_PHYDLL_PY_DLR96_I1,transformer,PHYDLL_PY_DLR96_I1,96,1,0,4.28553,3.82029,29587.2,239007,SUCCESS
transformer_PHYDLL_PY_DLR96_I1,transformer,PHYDLL_PY_DLR96_I1,96,1,0,3.81102,3.65041,29686.8,239007,SUCCESS
perfect_PHYDLL_PY_DLR96_I1,perfect,PHYDLL_PY_DLR96_I1,96,1,0,11.0677,7.81484,104842,239007,SUCCESS
perfect_PHYDLL_PY_DLR96_I1,perfect,PHYDLL_PY_DLR96_I1,96,1,0,8.38456,7.44981,104843,239007,SUCCESS
perfect_PHYDLL_PY_DLR96_I1,perfect,PHYDLL_PY_DLR96_I1,96,1,0,8.23741,7.95911,104808,239007,SUCCESS
perfect_PHYDLL_PY_DLR96_I1,perfect,PHYDLL_PY_DLR96_I1,96,1,0,8.09452,7.66225,104823,239007,SUCCESS
perfect_PHYDLL_PY_DLR96_I1,perfect,PHYDLL_PY_DLR96_I1,96,1,0,7.93533,7.34666,104851,239007,SUCCESS
perfect_PHYDLL_PY_DLR96_I1,perfect,PHYDLL_PY_DLR96_I1,96,1,0,8.08086,7.61822,104818,239007,SUCCESS
perfect_PHYDLL_PY_DLR96_I1,perfect,PHYDLL_PY_DLR96_I1,96,1,0,8.51615,7.98746,104836,239007,SUCCESS
perfect_PHYDLL_PY_DLR96_I1,perfect,PHYDLL_PY_DLR96_I1,96,1,0,8.33014,7.42294,104846,239007,SUCCESS
perfect_PHYDLL_PY_DLR96_I1,perfect,PHYDLL_PY_DLR96_I1,96,1,0,8.2106,7.13742,104844,239007,SUCCESS
perfect_PHYDLL_PY_DLR96_I1,perfect,PHYDLL_PY_DLR96_I1,96,1,0,8.24461,7.25834,104827,239007,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.60081,1.16185,36504.3,239007,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.44901,1.10653,36487.1,239007,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.6956,1.30341,36504.4,239007,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.43236,1.0941,36519.7,239007,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.4502,1.15564,36487.7,239007,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.51991,1.15378,36562.6,239007,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.81276,1.58516,36539.4,239007,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.37875,1.08567,36555.1,239007,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.46631,1.05784,36548.5,239007,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.45962,1.12317,36502,239007,SUCCESS
