label,model,provider,tpq,intra_threads,bind_cores,time_s,max_rss_mb,status
giant_SINGLE_SS_TPQ1_I96_B96,giant,SINGLE_SS_TPQ1_I96_B96,1,96,96,14.5976,6782.66,SUCCESS
giant_SINGLE_SS_TPQ1_I96_B96,giant,SINGLE_SS_TPQ1_I96_B96,1,96,96,18.4456,6782.66,SUCCESS
giant_SINGLE_SS_TPQ1_I96_B96,giant,SINGLE_SS_TPQ1_I96_B96,1,96,96,14.9805,6782.66,SUCCESS
giant_SINGLE_SS_TPQ1_I96_B96,giant,SINGLE_SS_TPQ1_I96_B96,1,96,96,14.6314,6782.66,SUCCESS
giant_SINGLE_SS_TPQ1_I96_B96,giant,SINGLE_SS_TPQ1_I96_B96,1,96,96,16.8771,6784.47,SUCCESS
giant_SINGLE_SS_TPQ1_I96_B96,giant,SINGLE_SS_TPQ1_I96_B96,1,96,96,15.9006,6782.67,SUCCESS
giant_SINGLE_SS_TPQ1_I96_B96,giant,SINGLE_SS_TPQ1_I96_B96,1,96,96,16.9745,6782.66,SUCCESS
giant_SINGLE_SS_TPQ1_I96_B96,giant,SINGLE_SS_TPQ1_I96_B96,1,96,96,15.9525,6782.66,SUCCESS
giant_SINGLE_SS_TPQ1_I96_B96,giant,SINGLE_SS_TPQ1_I96_B96,1,96,96,17.1232,6784.48,SUCCESS
giant_SINGLE_SS_TPQ1_I96_B96,giant,SINGLE_SS_TPQ1_I96_B96,1,96,96,18.8435,6782.67,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ1_I96_B96,mmcp_transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,56.428,3869.21,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ1_I96_B96,mmcp_transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,54.0866,3871.02,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ1_I96_B96,mmcp_transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,54.7613,3869.21,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ1_I96_B96,mmcp_transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,52.9998,3869.21,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ1_I96_B96,mmcp_transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,54.2782,3869.21,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ1_I96_B96,mmcp_transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,52.8627,3869.2,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ1_I96_B96,mmcp_transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,56.1301,3869.2,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ1_I96_B96,mmcp_transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,52.9915,3869.2,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ1_I96_B96,mmcp_transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,54.4485,3871.02,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ1_I96_B96,mmcp_transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,53.9565,3869.21,SUCCESS
transformer_SINGLE_SS_TPQ1_I96_B96,transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,15.4678,648.125,SUCCESS
transformer_SINGLE_SS_TPQ1_I96_B96,transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,15.4912,648.098,SUCCESS
transformer_SINGLE_SS_TPQ1_I96_B96,transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,15.5202,648.102,SUCCESS
transformer_SINGLE_SS_TPQ1_I96_B96,transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,15.8116,648.102,SUCCESS
transformer_SINGLE_SS_TPQ1_I96_B96,transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,15.6525,648.102,SUCCESS
transformer_SINGLE_SS_TPQ1_I96_B96,transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,15.8226,648.152,SUCCESS
transformer_SINGLE_SS_TPQ1_I96_B96,transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,15.9386,648.098,SUCCESS
transformer_SINGLE_SS_TPQ1_I96_B96,transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,15.789,648.102,SUCCESS
transformer_SINGLE_SS_TPQ1_I96_B96,transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,15.305,648.09,SUCCESS
transformer_SINGLE_SS_TPQ1_I96_B96,transformer,SINGLE_SS_TPQ1_I96_B96,1,96,96,15.3086,648.094,SUCCESS
perfect_SINGLE_SS_TPQ1_I96_B96,perfect,SINGLE_SS_TPQ1_I96_B96,1,96,96,12.6139,9171.95,SUCCESS
perfect_SINGLE_SS_TPQ1_I96_B96,perfect,SINGLE_SS_TPQ1_I96_B96,1,96,96,12.4663,9171.97,SUCCESS
perfect_SINGLE_SS_TPQ1_I96_B96,perfect,SINGLE_SS_TPQ1_I96_B96,1,96,96,12.2737,9173.75,SUCCESS
perfect_SINGLE_SS_TPQ1_I96_B96,perfect,SINGLE_SS_TPQ1_I96_B96,1,96,96,12.1948,9171.95,SUCCESS
perfect_SINGLE_SS_TPQ1_I96_B96,perfect,SINGLE_SS_TPQ1_I96_B96,1,96,96,12.6551,9171.95,SUCCESS
perfect_SINGLE_SS_TPQ1_I96_B96,perfect,SINGLE_SS_TPQ1_I96_B96,1,96,96,11.8148,9171.95,SUCCESS
perfect_SINGLE_SS_TPQ1_I96_B96,perfect,SINGLE_SS_TPQ1_I96_B96,1,96,96,11.848,9171.97,SUCCESS
perfect_SINGLE_SS_TPQ1_I96_B96,perfect,SINGLE_SS_TPQ1_I96_B96,1,96,96,11.8923,9171.95,SUCCESS
