label,model,provider,tpq,intra_threads,bind_cores,time_s,max_rss_mb,status
giant_SS_TPQ96_I1_B96,giant,SS_TPQ96_I1_B96,96,1,96,12.7181,34957,SUCCESS
giant_SS_TPQ96_I1_B96,giant,SS_TPQ96_I1_B96,96,1,96,11.9073,35579.3,SUCCESS
giant_SS_TPQ96_I1_B96,giant,SS_TPQ96_I1_B96,96,1,96,11.1207,35617.9,SUCCESS
giant_SS_TPQ96_I1_B96,giant,SS_TPQ96_I1_B96,96,1,96,12.3046,35584.4,SUCCESS
giant_SS_TPQ96_I1_B96,giant,SS_TPQ96_I1_B96,96,1,96,12.907,35547.2,SUCCESS
giant_SS_TPQ96_I1_B96,giant,SS_TPQ96_I1_B96,96,1,96,10.7229,35563.9,SUCCESS
giant_SS_TPQ96_I1_B96,giant,SS_TPQ96_I1_B96,96,1,96,11.4617,35573.8,SUCCESS
giant_SS_TPQ96_I1_B96,giant,SS_TPQ96_I1_B96,96,1,96,11.0905,35529.5,SUCCESS
giant_SS_TPQ96_I1_B96,giant,SS_TPQ96_I1_B96,96,1,96,10.3387,35570,SUCCESS
giant_SS_TPQ96_I1_B96,giant,SS_TPQ96_I1_B96,96,1,96,9.99843,35570.4,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,19.6475,34441.8,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,18.4949,34431.4,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,18.837,34407.3,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,19.1993,34411,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,18.9947,34434.2,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,18.9786,34437.9,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,18.6214,34419.3,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,19.4394,34422,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,19.059,34435.3,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,19.0464,34447.3,SUCCESS
transformer_SS_TPQ96_I1_B96,transformer,SS_TPQ96_I1_B96,96,1,96,4.76843,29412.1,SUCCESS
