label,model,provider,tpq,intra_threads,bind_cores,time_s,max_rss_mb,status
giant_SS_TPQ96_I1_B96_MULTI,giant,SS_TPQ96_I1_B96_MULTI,96,1,96,-1,-1,FAILED_RC_137
giant_SS_TPQ96_I1_B96_MULTI,giant,SS_TPQ96_I1_B96_MULTI,96,1,96,-1,-1,FAILED_RC_134
giant_SS_TPQ96_I1_B96_MULTI,giant,SS_TPQ96_I1_B96_MULTI,96,1,96,-1,-1,FAILED_RC_134
giant_SS_TPQ96_I1_B96_MULTI,giant,SS_TPQ96_I1_B96_MULTI,96,1,96,-1,-1,FAILED_RC_134
giant_SS_TPQ96_I1_B96_MULTI,giant,SS_TPQ96_I1_B96_MULTI,96,1,96,-1,-1,FAILED_RC_134
giant_SS_TPQ96_I1_B96_MULTI,giant,SS_TPQ96_I1_B96_MULTI,96,1,96,-1,-1,FAILED_RC_134
giant_SS_TPQ96_I1_B96_MULTI,giant,SS_TPQ96_I1_B96_MULTI,96,1,96,-1,-1,FAILED_RC_134
giant_SS_TPQ96_I1_B96_MULTI,giant,SS_TPQ96_I1_B96_MULTI,96,1,96,-1,-1,FAILED_RC_134
giant_SS_TPQ96_I1_B96_MULTI,giant,SS_TPQ96_I1_B96_MULTI,96,1,96,-1,-1,FAILED_RC_134
giant_SS_TPQ96_I1_B96_MULTI,giant,SS_TPQ96_I1_B96_MULTI,96,1,96,-1,-1,FAILED_RC_134
mmcp_transformer_SS_TPQ96_I1_B96_MULTI,mmcp_transformer,SS_TPQ96_I1_B96_MULTI,96,1,96,137.653,298184,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96_MULTI,mmcp_transformer,SS_TPQ96_I1_B96_MULTI,96,1,96,132.613,297638,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96_MULTI,mmcp_transformer,SS_TPQ96_I1_B96_MULTI,96,1,96,128.797,296403,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96_MULTI,mmcp_transformer,SS_TPQ96_I1_B96_MULTI,96,1,96,127.811,293888,SUCCESS
