label,model,provider,tpq,intra_threads,bind_cores,time_s,max_rss_mb,status
giant_SS_TPQ96_I1_NOBIND,giant,SS_TPQ96_I1_NOBIND,96,1,0,463.337,34972.7,SUCCESS
giant_SS_TPQ96_I1_NOBIND,giant,SS_TPQ96_I1_NOBIND,96,1,0,467.573,35537.5,SUCCESS
giant_SS_TPQ96_I1_NOBIND,giant,SS_TPQ96_I1_NOBIND,96,1,0,468.109,35619.6,SUCCESS
giant_SS_TPQ96_I1_NOBIND,giant,SS_TPQ96_I1_NOBIND,96,1,0,468.319,35162.7,SUCCESS
giant_SS_TPQ96_I1_NOBIND,giant,SS_TPQ96_I1_NOBIND,96,1,0,467.856,35301.6,SUCCESS
giant_SS_TPQ96_I1_NOBIND,giant,SS_TPQ96_I1_NOBIND,96,1,0,467.461,35595.2,SUCCESS
giant_SS_TPQ96_I1_NOBIND,giant,SS_TPQ96_I1_NOBIND,96,1,0,468.252,35055.6,SUCCESS
giant_SS_TPQ96_I1_NOBIND,giant,SS_TPQ96_I1_NOBIND,96,1,0,467.745,35605.4,SUCCESS
giant_SS_TPQ96_I1_NOBIND,giant,SS_TPQ96_I1_NOBIND,96,1,0,468.187,35085.6,SUCCESS
giant_SS_TPQ96_I1_NOBIND,giant,SS_TPQ96_I1_NOBIND,96,1,0,469.062,35256.8,SUCCESS
mmcp_transformer_SS_TPQ96_I1_NOBIND,mmcp_transformer,SS_TPQ96_I1_NOBIND,96,1,0,771.872,34450.9,SUCCESS
mmcp_transformer_SS_TPQ96_I1_NOBIND,mmcp_transformer,SS_TPQ96_I1_NOBIND,96,1,0,768.424,34464,SUCCESS
mmcp_transformer_SS_TPQ96_I1_NOBIND,mmcp_transformer,SS_TPQ96_I1_NOBIND,96,1,0,770.102,34368.5,SUCCESS
mmcp_transformer_SS_TPQ96_I1_NOBIND,mmcp_transformer,SS_TPQ96_I1_NOBIND,96,1,0,772.984,34465.4,SUCCESS
mmcp_transformer_SS_TPQ96_I1_NOBIND,mmcp_transformer,SS_TPQ96_I1_NOBIND,96,1,0,770.742,34448.9,SUCCESS
mmcp_transformer_SS_TPQ96_I1_NOBIND,mmcp_transformer,SS_TPQ96_I1_NOBIND,96,1,0,770.106,34172.1,SUCCESS
mmcp_transformer_SS_TPQ96_I1_NOBIND,mmcp_transformer,SS_TPQ96_I1_NOBIND,96,1,0,771.58,33930,SUCCESS
mmcp_transformer_SS_TPQ96_I1_NOBIND,mmcp_transformer,SS_TPQ96_I1_NOBIND,96,1,0,769.214,34463.3,SUCCESS
mmcp_transformer_SS_TPQ96_I1_NOBIND,mmcp_transformer,SS_TPQ96_I1_NOBIND,96,1,0,770.361,33942.8,SUCCESS
mmcp_transformer_SS_TPQ96_I1_NOBIND,mmcp_transformer,SS_TPQ96_I1_NOBIND,96,1,0,769.611,34020.1,SUCCESS
transformer_SS_TPQ96_I1_NOBIND,transformer,SS_TPQ96_I1_NOBIND,96,1,0,93.8331,29407.5,SUCCESS
transformer_SS_TPQ96_I1_NOBIND,transformer,SS_TPQ96_I1_NOBIND,96,1,0,93.2397,29452.9,SUCCESS
transformer_SS_TPQ96_I1_NOBIND,transformer,SS_TPQ96_I1_NOBIND,96,1,0,93.5383,29459.4,SUCCESS
transformer_SS_TPQ96_I1_NOBIND,transformer,SS_TPQ96_I1_NOBIND,96,1,0,93.4944,29467.7,SUCCESS
transformer_SS_TPQ96_I1_NOBIND,transformer,SS_TPQ96_I1_NOBIND,96,1,0,93.3642,29461.1,SUCCESS
transformer_SS_TPQ96_I1_NOBIND,transformer,SS_TPQ96_I1_NOBIND,96,1,0,93.2906,29461.6,SUCCESS
transformer_SS_TPQ96_I1_NOBIND,transformer,SS_TPQ96_I1_NOBIND,96,1,0,93.6468,29435.4,SUCCESS
transformer_SS_TPQ96_I1_NOBIND,transformer,SS_TPQ96_I1_NOBIND,96,1,0,93.4651,29496.9,SUCCESS
transformer_SS_TPQ96_I1_NOBIND,transformer,SS_TPQ96_I1_NOBIND,96,1,0,93.1389,29459.8,SUCCESS
transformer_SS_TPQ96_I1_NOBIND,transformer,SS_TPQ96_I1_NOBIND,96,1,0,93.0777,29466.9,SUCCESS
perfect_SS_TPQ96_I1_NOBIND,perfect,SS_TPQ96_I1_NOBIND,96,1,0,26.7277,57095.2,SUCCESS
perfect_SS_TPQ96_I1_NOBIND,perfect,SS_TPQ96_I1_NOBIND,96,1,0,25.0108,57085.2,SUCCESS
perfect_SS_TPQ96_I1_NOBIND,perfect,SS_TPQ96_I1_NOBIND,96,1,0,19.2627,57070.9,SUCCESS
