label,model,provider,tpq,intra_threads,bind_cores,cold_time_s,warm_time_s,solver_rss_mb,job_mem_mb,status
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,4.99475,0.240057,44815.2,34344,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.401908,0.23844,45431.2,34071,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.39949,0.238901,45385.1,34013,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.392513,0.239452,45363.1,33988,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.390836,0.24056,45364.9,33976,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.390297,0.238591,45190.9,33939,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.399789,0.239965,45314.4,34008,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.394279,0.238038,45229.3,33837,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.397209,0.238062,45187.2,34000,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.390343,0.239256,45295.5,33984,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,21.3098,19.1564,193373,180434,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,18.8998,19.9726,193965,180899,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,19.0073,19.0718,193423,180263,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,18.684,18.8522,194321,181309,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,19.0366,18.6811,195752,182759,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,19.0417,18.8395,193594,180478,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,19.1001,18.4985,192622,179683,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,19.0471,19.3275,195666,182538,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,18.8927,18.7833,194230,181253,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,18.8908,18.2019,193603,180538,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,4.86359,1.14355,36742,70000,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.57532,1.44832,36224.3,68808,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.5995,1.12605,36240.4,68923,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.69048,1.51912,36203.4,68549,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.49891,1.37269,36277,68359,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.51787,1.26039,36452.5,69558,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.56174,1.14872,36201,69794,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.70395,1.47692,36267.6,67589,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.54151,1.37391,36281.7,68482,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.59265,1.54355,36393.8,67738,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,38.9124,46.3609,35195.9,222772,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,43.7571,45.1467,29009.3,220662,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,42.7247,39.9887,30164.1,220363,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,47.6377,42.1204,35255.4,219862,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,40.5084,36.7978,34020.4,217275,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,40.3464,48.2026,35477.2,219561,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,42.7842,41.8055,29010.9,220685,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,38.3697,40.726,30033.3,219179,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,41.1785,41.3392,35105.8,219947,SUCCESS
mmcp_transformer_PHYDLL_CPP_DLR96_I1,mmcp_transformer,PHYDLL_CPP_DLR96_I1,96,1,0,44.7935,46.785,35109.7,219652,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,2.31828,1.63082,36505.6,60880,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.5798,1.29504,36434.6,61705,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.51583,1.23283,36492.8,62258,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.62093,1.2392,36439.9,61204,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.51794,1.13817,36471.7,62554,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.48708,1.22779,36449.2,61637,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.40619,1.12587,36472.4,62458,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.66142,1.18763,36485.2,61748,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.47962,1.3312,36414.5,61721,SUCCESS
watercnn_PHYDLL_PY_DLR96_I1,watercnn,PHYDLL_PY_DLR96_I1,96,1,0,1.4018,1.07966,36433,63295,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,42.5605,42.8076,34223.1,214097,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,44.7295,41.705,28841.5,214786,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,48.7925,43.7199,29690.4,216593,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,49.9267,45.9035,35418.7,214947,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,45.8587,38.9263,34291.1,215180,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,58.7244,47.5689,28859.8,215854,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,52.1982,55.3992,30110.8,214925,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,42.8319,46.085,34240.1,213704,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,52.192,44.0072,27858.4,215029,SUCCESS
mmcp_transformer_PHYDLL_PY_DLR96_I1,mmcp_transformer,PHYDLL_PY_DLR96_I1,96,1,0,50.6065,46.0625,31138.6,214045,SUCCESS
watercnn_SS_DEFAULT,watercnn,SS_DEFAULT,N/A,N/A,-1,9.61271,9.69604,32081.8,23105,SUCCESS
watercnn_SS_DEFAULT,watercnn,SS_DEFAULT,N/A,N/A,-1,9.59532,10.5515,32152.4,23313,SUCCESS
watercnn_SS_DEFAULT,watercnn,SS_DEFAULT,N/A,N/A,-1,10.4961,9.97465,32162.9,22981,SUCCESS
watercnn_SS_DEFAULT,watercnn,SS_DEFAULT,N/A,N/A,-1,9.95371,9.425,32193.9,23141,SUCCESS
watercnn_SS_DEFAULT,watercnn,SS_DEFAULT,N/A,N/A,-1,10.0218,10.0197,32198.6,23157,SUCCESS
watercnn_SS_DEFAULT,watercnn,SS_DEFAULT,N/A,N/A,-1,9.94684,9.97533,32174.1,23131,SUCCESS
watercnn_SS_DEFAULT,watercnn,SS_DEFAULT,N/A,N/A,-1,9.65288,11.313,32074.3,23565,SUCCESS
watercnn_SS_DEFAULT,watercnn,SS_DEFAULT,N/A,N/A,-1,10.3859,9.79421,32223,23164,SUCCESS
watercnn_SS_DEFAULT,watercnn,SS_DEFAULT,N/A,N/A,-1,10.3886,10.2123,32196.4,22984,SUCCESS
watercnn_SS_DEFAULT,watercnn,SS_DEFAULT,N/A,N/A,-1,11.1751,9.21167,32161.5,22975,SUCCESS
mmcp_transformer_SS_DEFAULT,mmcp_transformer,SS_DEFAULT,N/A,N/A,-1,846.352,831.436,34674.9,25154,SUCCESS
mmcp_transformer_SS_DEFAULT,mmcp_transformer,SS_DEFAULT,N/A,N/A,-1,847.226,897.999,34137.8,24976,SUCCESS
mmcp_transformer_SS_DEFAULT,mmcp_transformer,SS_DEFAULT,N/A,N/A,-1,871.447,819.598,34239.6,25291,SUCCESS
mmcp_transformer_SS_DEFAULT,mmcp_transformer,SS_DEFAULT,N/A,N/A,-1,853.074,867.069,34436.7,24941,SUCCESS
mmcp_transformer_SS_DEFAULT,mmcp_transformer,SS_DEFAULT,N/A,N/A,-1,885.551,850.374,34461.2,24941,SUCCESS
mmcp_transformer_SS_DEFAULT,mmcp_transformer,SS_DEFAULT,N/A,N/A,-1,846.961,833.318,34679.3,24920,SUCCESS
mmcp_transformer_SS_DEFAULT,mmcp_transformer,SS_DEFAULT,N/A,N/A,-1,850.447,866.515,34466.9,24934,SUCCESS
mmcp_transformer_SS_DEFAULT,mmcp_transformer,SS_DEFAULT,N/A,N/A,-1,861.836,871.805,34451.6,24929,SUCCESS
mmcp_transformer_SS_DEFAULT,mmcp_transformer,SS_DEFAULT,N/A,N/A,-1,841.945,822.789,34491.9,24930,SUCCESS
mmcp_transformer_SS_DEFAULT,mmcp_transformer,SS_DEFAULT,N/A,N/A,-1,850.537,894.347,34550.2,24913,SUCCESS
watercnn_SS_TPQ1_I96_B96,watercnn,SS_TPQ1_I96_B96,1,96,96,49.6769,44.8616,32528.3,23040,SUCCESS
watercnn_SS_TPQ1_I96_B96,watercnn,SS_TPQ1_I96_B96,1,96,96,50.2594,45.4143,32521.7,23596,SUCCESS
watercnn_SS_TPQ1_I96_B96,watercnn,SS_TPQ1_I96_B96,1,96,96,48.8828,43.3207,32520.1,23045,SUCCESS
watercnn_SS_TPQ1_I96_B96,watercnn,SS_TPQ1_I96_B96,1,96,96,49.9049,43.8916,32538.7,23097,SUCCESS
watercnn_SS_TPQ1_I96_B96,watercnn,SS_TPQ1_I96_B96,1,96,96,49.5995,44.8882,32516.3,23042,SUCCESS
watercnn_SS_TPQ1_I96_B96,watercnn,SS_TPQ1_I96_B96,1,96,96,51.0961,43.7207,32531.7,23141,SUCCESS
watercnn_SS_TPQ1_I96_B96,watercnn,SS_TPQ1_I96_B96,1,96,96,48.8978,44.9196,32527.8,23129,SUCCESS
watercnn_SS_TPQ1_I96_B96,watercnn,SS_TPQ1_I96_B96,1,96,96,47.5596,44.5692,32517.7,23409,SUCCESS
watercnn_SS_TPQ1_I96_B96,watercnn,SS_TPQ1_I96_B96,1,96,96,47.4749,44.091,32529.5,23075,SUCCESS
watercnn_SS_TPQ1_I96_B96,watercnn,SS_TPQ1_I96_B96,1,96,96,48.7387,44.1868,32533.5,23112,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96,mmcp_transformer,SS_TPQ1_I96_B96,1,96,96,971.833,979.342,35005.9,24932,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96,mmcp_transformer,SS_TPQ1_I96_B96,1,96,96,971.467,988.531,34920.4,24929,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96,mmcp_transformer,SS_TPQ1_I96_B96,1,96,96,986.44,970.928,35026.5,25266,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96,mmcp_transformer,SS_TPQ1_I96_B96,1,96,96,986.857,967.764,35065.9,24930,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96,mmcp_transformer,SS_TPQ1_I96_B96,1,96,96,976.052,978.891,35042.7,24944,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96,mmcp_transformer,SS_TPQ1_I96_B96,1,96,96,981.206,984.422,35093.3,25004,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96,mmcp_transformer,SS_TPQ1_I96_B96,1,96,96,974.347,973.92,35028.4,24948,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96,mmcp_transformer,SS_TPQ1_I96_B96,1,96,96,998.955,949.851,35075.6,24975,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96,mmcp_transformer,SS_TPQ1_I96_B96,1,96,96,983.182,964.59,35038.7,24939,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96,mmcp_transformer,SS_TPQ1_I96_B96,1,96,96,978.718,960.454,35119.4,25183,SUCCESS
watercnn_SS_TPQ1_I96_B96_BATCH100,watercnn,SS_TPQ1_I96_B96_BATCH100,1,96,96,3.14176,2.9395,32496.6,35501,SUCCESS
watercnn_SS_TPQ1_I96_B96_BATCH100,watercnn,SS_TPQ1_I96_B96_BATCH100,1,96,96,3.12032,3.00239,32541.7,35297,SUCCESS
watercnn_SS_TPQ1_I96_B96_BATCH100,watercnn,SS_TPQ1_I96_B96_BATCH100,1,96,96,3.13319,3.01145,32520.8,35196,SUCCESS
watercnn_SS_TPQ1_I96_B96_BATCH100,watercnn,SS_TPQ1_I96_B96_BATCH100,1,96,96,3.13789,2.9394,32531.9,35211,SUCCESS
watercnn_SS_TPQ1_I96_B96_BATCH100,watercnn,SS_TPQ1_I96_B96_BATCH100,1,96,96,3.21408,2.99232,32521.3,35374,SUCCESS
watercnn_SS_TPQ1_I96_B96_BATCH100,watercnn,SS_TPQ1_I96_B96_BATCH100,1,96,96,3.16509,3.3273,32520.2,35208,SUCCESS
watercnn_SS_TPQ1_I96_B96_BATCH100,watercnn,SS_TPQ1_I96_B96_BATCH100,1,96,96,3.15002,2.94128,32520.7,35205,SUCCESS
watercnn_SS_TPQ1_I96_B96_BATCH100,watercnn,SS_TPQ1_I96_B96_BATCH100,1,96,96,3.17694,3.19428,32527.8,35231,SUCCESS
watercnn_SS_TPQ1_I96_B96_BATCH100,watercnn,SS_TPQ1_I96_B96_BATCH100,1,96,96,3.07535,3.00284,32525.3,35228,SUCCESS
watercnn_SS_TPQ1_I96_B96_BATCH100,watercnn,SS_TPQ1_I96_B96_BATCH100,1,96,96,3.23164,2.79247,32533.7,35335,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96_BATCH100,mmcp_transformer,SS_TPQ1_I96_B96_BATCH100,1,96,96,50.3308,48.1667,35032.5,35030,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96_BATCH100,mmcp_transformer,SS_TPQ1_I96_B96_BATCH100,1,96,96,48.5392,48.0973,35036.1,35228,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96_BATCH100,mmcp_transformer,SS_TPQ1_I96_B96_BATCH100,1,96,96,49.4653,46.9474,35034,35262,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96_BATCH100,mmcp_transformer,SS_TPQ1_I96_B96_BATCH100,1,96,96,48.4521,48.3669,35036.8,35239,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96_BATCH100,mmcp_transformer,SS_TPQ1_I96_B96_BATCH100,1,96,96,49.4818,45.9984,35032.3,35521,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96_BATCH100,mmcp_transformer,SS_TPQ1_I96_B96_BATCH100,1,96,96,50.7597,46.2932,35037.8,35241,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96_BATCH100,mmcp_transformer,SS_TPQ1_I96_B96_BATCH100,1,96,96,48.8964,48.5829,35034.8,35227,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96_BATCH100,mmcp_transformer,SS_TPQ1_I96_B96_BATCH100,1,96,96,49.489,46.2922,35044.3,35238,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96_BATCH100,mmcp_transformer,SS_TPQ1_I96_B96_BATCH100,1,96,96,50.1449,47.8733,35048.7,35106,SUCCESS
mmcp_transformer_SS_TPQ1_I96_B96_BATCH100,mmcp_transformer,SS_TPQ1_I96_B96_BATCH100,1,96,96,50.3032,46.6327,35043.6,35343,SUCCESS
watercnn_SS_TPQ96_I1_B96,watercnn,SS_TPQ96_I1_B96,96,1,96,1.43619,1.78779,32524.1,31851,SUCCESS
watercnn_SS_TPQ96_I1_B96,watercnn,SS_TPQ96_I1_B96,96,1,96,1.41459,1.60822,32539.9,31829,SUCCESS
watercnn_SS_TPQ96_I1_B96,watercnn,SS_TPQ96_I1_B96,96,1,96,1.43585,1.71037,32505.5,32764,SUCCESS
watercnn_SS_TPQ96_I1_B96,watercnn,SS_TPQ96_I1_B96,96,1,96,1.36955,1.93479,32526,33379,SUCCESS
watercnn_SS_TPQ96_I1_B96,watercnn,SS_TPQ96_I1_B96,96,1,96,1.6018,1.55563,32507.7,34133,SUCCESS
watercnn_SS_TPQ96_I1_B96,watercnn,SS_TPQ96_I1_B96,96,1,96,1.35033,1.58421,32527.4,32730,SUCCESS
watercnn_SS_TPQ96_I1_B96,watercnn,SS_TPQ96_I1_B96,96,1,96,1.5731,1.33416,32517.4,35973,SUCCESS
watercnn_SS_TPQ96_I1_B96,watercnn,SS_TPQ96_I1_B96,96,1,96,1.63303,1.61246,32522.2,33956,SUCCESS
watercnn_SS_TPQ96_I1_B96,watercnn,SS_TPQ96_I1_B96,96,1,96,1.63476,1.48476,32534.8,33069,SUCCESS
watercnn_SS_TPQ96_I1_B96,watercnn,SS_TPQ96_I1_B96,96,1,96,1.55447,1.9521,32519.1,34370,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,19.4114,19.3041,35053.7,41120,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,19.8404,20.2179,35048,41354,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,20.4838,19.2979,35046.4,41822,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,18.6072,20.41,35024.2,40991,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,19.9604,20.3585,35047.3,41115,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,20.2163,19.7871,35036.4,41668,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,20.2305,19.6335,35041.6,41029,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,19.5878,18.9788,35041.7,41009,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,19.6653,19.5546,35041.1,40853,SUCCESS
mmcp_transformer_SS_TPQ96_I1_B96,mmcp_transformer,SS_TPQ96_I1_B96,96,1,96,20.0657,20.4519,35052.5,40839,SUCCESS
