run_id,ranks,intra,inter,time_s,max_rss_mb,status
0,1,1,1,423.7912,6791.30,SUCCESS
1,1,1,2,423.4047,6789.88,SUCCESS
2,1,1,4,423.2662,6792.16,SUCCESS
3,1,1,8,423.5435,6788.67,SUCCESS
4,1,1,16,423.0375,6789.28,SUCCESS
5,1,2,1,211.9131,6789.71,SUCCESS
6,1,2,2,212.3989,6791.50,SUCCESS
7,1,2,4,212.0366,6790.66,SUCCESS
8,1,2,8,212.3498,6789.35,SUCCESS
9,1,2,16,212.2255,6794.55,SUCCESS
10,1,4,1,113.4887,6796.54,SUCCESS
11,1,4,2,113.7024,6799.93,SUCCESS
12,1,4,4,113.5472,6798.34,SUCCESS
13,1,4,8,113.6252,6798.08,SUCCESS
14,1,4,16,113.5057,6797.09,SUCCESS
15,1,8,1,59.5156,6799.49,SUCCESS
16,1,8,2,59.4489,6797.41,SUCCESS
17,1,8,4,59.1557,6799.73,SUCCESS
18,1,8,8,59.3269,6799.37,SUCCESS
19,1,8,16,59.4680,6798.14,SUCCESS
20,1,16,1,35.6155,6801.07,SUCCESS
21,1,16,2,35.2854,6798.33,SUCCESS
22,1,16,4,35.3762,6798.30,SUCCESS
23,1,16,8,35.3178,6799.06,SUCCESS
24,1,16,16,35.5303,6799.90,SUCCESS
25,2,1,1,427.5766,13583.61,SUCCESS
26,2,1,2,423.8679,13582.13,SUCCESS
27,2,1,4,428.3402,13579.75,SUCCESS
28,2,1,8,424.0955,13581.55,SUCCESS
29,2,1,16,427.5197,13580.43,SUCCESS
30,2,2,1,217.6156,13580.51,SUCCESS
31,2,2,2,214.4577,13581.14,SUCCESS
32,2,2,4,215.4463,13581.62,SUCCESS
33,2,2,8,214.5932,13584.02,SUCCESS
34,2,2,16,216.6203,13582.34,SUCCESS
35,2,4,1,116.3699,13597.25,SUCCESS
36,2,4,2,116.1887,13600.89,SUCCESS
37,2,4,4,115.5852,13597.18,SUCCESS
38,2,4,8,115.6753,13597.27,SUCCESS
39,2,4,16,116.1600,13595.14,SUCCESS
40,2,8,1,68.3595,13600.97,SUCCESS
41,2,8,2,68.3858,13598.95,SUCCESS
42,2,8,4,68.2274,13599.95,SUCCESS
43,2,8,8,68.2064,13598.31,SUCCESS
44,2,8,16,68.4104,13598.68,SUCCESS
45,2,16,1,1119.0429,13601.75,SUCCESS
46,2,16,2,922.3016,13596.66,SUCCESS
47,2,16,4,751.5011,13599.15,SUCCESS
48,2,16,8,851.2331,13598.60,SUCCESS
49,2,16,16,889.0578,13595.97,SUCCESS
50,4,1,1,432.4229,27159.18,SUCCESS
51,4,1,2,434.2424,27160.90,SUCCESS
52,4,1,4,433.7685,27163.80,SUCCESS
53,4,1,8,433.5940,27165.19,SUCCESS
54,4,1,16,432.7294,27166.62,SUCCESS
55,4,2,1,226.4096,27166.89,SUCCESS
56,4,2,2,227.9919,27163.47,SUCCESS
57,4,2,4,227.1518,27165.70,SUCCESS
58,4,2,8,228.1339,27169.64,SUCCESS
59,4,2,16,227.4632,27169.19,SUCCESS
60,4,4,1,131.9615,27198.68,SUCCESS
61,4,4,2,132.2363,27197.61,SUCCESS
62,4,4,4,132.2373,27198.47,SUCCESS
63,4,4,8,132.2301,27197.80,SUCCESS
64,4,4,16,132.1518,27197.29,SUCCESS
65,4,8,1,TBD,TBD,RUNNING
66,4,8,2,TBD,TBD,RUNNING
67,4,8,4,TBD,TBD,RUNNING
68,4,8,8,TBD,TBD,RUNNING
69,4,8,16,TBD,TBD,RUNNING
70,4,16,1,TBD,TBD,RUNNING
71,4,16,2,TBD,TBD,RUNNING
72,4,16,4,TBD,TBD,RUNNING
73,4,16,8,TBD,TBD,RUNNING
74,4,16,16,TBD,TBD,RUNNING
75,8,1,1,517.7191,54471.41,SUCCESS
76,8,1,2,505.8158,54581.87,SUCCESS
77,8,1,4,452.9040,54570.33,SUCCESS
78,8,1,8,497.5678,54535.16,SUCCESS
79,8,1,16,540.5014,54728.06,SUCCESS
80,8,2,1,246.2021,54643.52,SUCCESS
81,8,2,2,248.6455,54652.17,SUCCESS
82,8,2,4,246.0972,54654.07,SUCCESS
83,8,2,8,246.5133,54588.53,SUCCESS
84,8,2,16,247.7571,54575.42,SUCCESS
85,8,4,1,-1,-1,FAILED_PARSE
86,8,4,2,-1,-1,FAILED_PARSE
87,8,4,4,-1,-1,FAILED_PARSE
88,8,4,8,-1,-1,FAILED_PARSE
89,8,4,16,-1,-1,FAILED_PARSE
90,8,8,1,-1,-1,FAILED_PARSE
91,8,8,2,-1,-1,FAILED_PARSE
92,8,8,4,-1,-1,FAILED_PARSE
93,8,8,8,EXPECTED_TIMEOUT,0.00,SUCCESS
94,8,8,16,EXPECTED_TIMEOUT,0.00,SUCCESS
95,8,16,1,TBD,TBD,RUNNING
96,8,16,2,TBD,TBD,RUNNING
97,8,16,4,TBD,TBD,RUNNING
98,8,16,8,TBD,TBD,RUNNING
99,8,16,16,TBD,TBD,RUNNING
100,16,1,1,-1,-1,FAILED_PARSE
101,16,1,2,-1,-1,FAILED_PARSE
102,16,1,4,-1,-1,FAILED_PARSE
103,16,1,8,-1,-1,FAILED_PARSE
104,16,1,16,-1,-1,FAILED_PARSE
105,16,2,1,-1,-1,FAILED_PARSE
106,16,2,2,-1,-1,FAILED_PARSE
107,16,2,4,-1,-1,FAILED_PARSE
108,16,2,8,-1,-1,FAILED_PARSE
109,16,2,16,-1,-1,FAILED_PARSE
110,16,4,1,-1,-1,FAILED_PARSE
111,16,4,2,TBD,TBD,RUNNING
112,16,4,4,TBD,TBD,RUNNING
74,4,16,16,TBD,TBD,RUNNING
75,8,1,1,517.7191,54471.41,SUCCESS
76,8,1,2,505.8158,54581.87,SUCCESS
77,8,1,4,452.9040,54570.33,SUCCESS
78,8,1,8,497.5678,54535.16,SUCCESS
79,8,1,16,540.5014,54728.06,SUCCESS
80,8,2,1,246.2021,54643.52,SUCCESS
81,8,2,2,248.6455,54652.17,SUCCESS
82,8,2,4,246.0972,54654.07,SUCCESS
83,8,2,8,246.5133,54588.53,SUCCESS
84,8,2,16,247.7571,54575.42,SUCCESS
85,8,4,1,TBD,TBD,RUNNING
86,8,4,2,TBD,TBD,RUNNING
87,8,4,4,TBD,TBD,RUNNING
88,8,4,8,TBD,TBD,RUNNING
89,8,4,16,TBD,TBD,RUNNING
90,8,8,1,TBD,TBD,RUNNING
91,8,8,2,TBD,TBD,RUNNING
92,8,8,4,TBD,TBD,RUNNING
93,8,8,8,EXPECTED_TIMEOUT,0.00,SUCCESS
94,8,8,16,EXPECTED_TIMEOUT,0.00,SUCCESS
95,8,16,1,TBD,TBD,RUNNING
